planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,o2,condition,ok for 0 hab skill,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,fauna_predictor_algorithm,flora_predictor_algorithm,fauna_result,flora_result
Al-Battani VI-a,,AlBattaniVIa,Ice,Moon,Ice Moon,Al-Battani,35,0.28,,,,Deep freeze,None,None,Heavy metal,"Cu,H20",2,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,0,3,1,1,1,2,0,0,0,0
Al-Battani VI-b,,AlBattaniVIb,Ice,Moon,Ice Moon,Al-Battani,35,0.03,,,,Deep freeze,None,None,Safe,"Cu,H20",2,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0,0
Al-Battani VII,,AlBattaniVII,Ice giant,Planet,Ice giant Planet,Al-Battani,35,0.81,,,,Deep freeze,H2,Weak,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,1,0,0,0,0,2,1,3,3,1,0,0,0,0
Al-Battani VII-a,,AlBattaniVIIa,Barren,Moon,Barren Moon,Al-Battani,35,0.42,,,,Deep freeze,None,None,None,"Al,Be,He-3",3,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,1,1,0,0,0,0
Al-Battani VIII,,AlBattaniVIII,Barren,Planet,Barren Planet,Al-Battani,35,0.49,,,,Deep freeze,None,Weak,None,"Al,Be,He-3",3,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,3,1,0,0,0,0
Al-Battani VIII-a,,AlBattaniVIIIa,Ice,Moon,Ice Moon,Al-Battani,35,0.03,,,,Deep freeze,None,None,Chemical,"Ag,H20,Pb",3,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0,0
Alchiba I,Corvi I,AlchibaI,Rock,Planet,Rock Planet,Alchiba,50,1.75,,,,Inferno,Extr CO2,Average,None,"Co,Ni,Pb,Pd",4,Unknown,Unknown,"Desert-Rocky,Hills,SavannahBarren","Desert,Hills,Savannah",Unknown,37.5%,No,1,2,3,0,1,4,7,4,4,1,0,0,0*,0*
Alchiba II,Corvi II,AlchibaII,Rock,Planet,Rock Planet,Alchiba,50,0.71,,,,Inferno,Std CO2,Average,None,"Ag,Fe,HnCn,Ir,Pb,U",6,Unknown,Unknown,"Desert-Rocky,Desert-Sandy,Mountains,SavannahBarren","Desert,Mountains,Savannah",Unknown,54.2%,No,1,0,3,0,1,4,7,4,4,1,0,0,0*,0*
Alchiba II-a,Corvi II-a,AlchibaIIa,Barren,Moon,Barren Moon,Alchiba,50,0.08,,,,Inferno,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
Alchiba III,Corvi III,AlchibaIII,Gas giant,Planet,Gas giant Planet,Alchiba,50,1.24,,,,Temperate,H2,Average,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,54.2%,No,0,0,0,0,0,2,4,3,4,1,1,1,1*,1*
Alchiba III-a,Corvi III-a,AlchibaIIIa,Ice,Moon,Ice Moon,Alchiba,50,0.15,,,,Temperate,None,None,None,"Al,H20,He-3,Pb,W",5,Unknown,Unknown,"Cratered,Polar-Ice","Cratered,Ice",Unknown,54.2%,No,0,0,0,0,3,3,4,1,1,1,0,0,0*,0*
Alchiba III-b,Corvi III-b,AlchibaIIIb,Ice,Moon,Ice Moon,Alchiba,50,0.04,,,,Cold,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Alchiba III-c,Corvi III-c,AlchibaIIIc,Barren,Moon,Barren Moon,Alchiba,50,0.14,,,,Temperate,None,None,Safe,"Al,Be,Co,H20,He-3,Nd,Ni,Pt",8,Unknown,Unknown,"Cratered,Polar-Ice","Cratered,Ice",Unknown,62.5%,Yes,0,0,0,0,3,3,4,1,1,6,-1,-1,0*,0*
Alchiba IV,Corvi IV,AlchibaIV,Rock,Planet,Rock Planet,Alchiba,50,0.80,,,,Cold,Std M,Weak,Safe,"Cu,H20,Ir,Pb,U,V,xF4",7,Unknown,Unknown,"Mountains,Polar-Ice,SavannahBarren","Mountains,Ice,Savannah",Unknown,62.5%,Yes,0,0,3,0,0,4,3,5,3,6,5,4,5*,4*
Alchiba IV-a,Corvi IV-a,AlchibaIVa,Rock,Moon,Rock Moon,Alchiba,50,0.36,,,,Cold,Thin CO2,None,Chemical,"Ar,Co,Cu,F,H20,Ni,Pb",7,Unknown,Unknown,"Desert-Rocky,Hills,Polar-Ice,SavannahBarren","Desert,Hills,Ice,Savannah",Unknown,45.8%,Yes,0,0,3,0,1,4,3,4,1,3,2,2,2*,2*
Alchiba IX,Corvi IX,AlchibaIX,Gas giant,Planet,Gas giant Planet,Alchiba,50,3.82,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,5,1,0,0,0*,0*
Alchiba IX-a,Corvi IX-a,AlchibaIXa,Ice,Moon,Ice Moon,Alchiba,50,0.10,,,,Deep freeze,None,None,Safe,"Ar,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Alchiba V,Corvi V,AlchibaV,Rock,Planet,Rock Planet,Alchiba,50,0.52,,,,Frozen,Thin N2,Powerful,Chemical,"Ar,H20,Ir,Pb,U",5,Unknown,Unknown,"Desert-Rocky,Desert-Sandy,Mountains,Polar-Ice","Desert,Mountains,Ice",Unknown,62.5%,Yes,0,0,0,0,0,4,2,2,7,3,0,0,0*,0*
Alchiba V-a,Corvi V-a,AlchibaVa,Barren,Moon,Barren Moon,Alchiba,50,0.08,,,,Cold,None,None,None,"Fe,He-3,HnCn,Yb",4,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Alchiba VI,Corvi VI,AlchibaVI,Ice giant,Planet,Ice giant Planet,Alchiba,50,1.11,,,,Frozen,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,0,0,0,0,0,2,2,3,3,1,0,0,0*,0*
Alchiba VI-a,Corvi VI-a,AlchibaVIa,Ice,Moon,Ice Moon,Alchiba,50,0.04,,,,Frozen,None,None,Chemical,"Au,Cu,F,H20",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,3,0,0,0*,0*
Alchiba VI-b,Corvi VI-b,AlchibaVIb,Ice,Moon,Ice Moon,Alchiba,50,0.16,,,,Frozen,None,None,Safe,"Cu,H20,xF4",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0*,0*
Alchiba VI-c,Corvi VI-c,AlchibaVIc,Ice,Moon,Ice Moon,Alchiba,50,0.30,,,,Frozen,None,None,Safe,"Cu,F,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0*,0*
Alchiba VII,Corvi VII,AlchibaVII,Ice giant,Planet,Ice giant Planet,Alchiba,50,1.35,,,,Deep freeze,H2,Average,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,4,1,0,0,0*,0*
Alchiba VII-a,Corvi VII-a,AlchibaVIIa,Ice,Moon,Ice Moon,Alchiba,50,0.15,,,,Deep freeze,None,None,Chemical,"Cu,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Alchiba VII-b,Corvi VII-b,AlchibaVIIb,Rock,Moon,Rock Moon,Alchiba,50,0.45,,,,Cold,Thin M,None,Safe,"Cl,Co,Cu,H20,Ni,Pb,xF4",7,Unknown,Unknown,"Forest,Hills,Mountains,Ocean,Polar-Ice,Wetlands","Forest,Hills,Mountains,Ocean,Ice,Wetlands",Unknown,62.5%,Yes,0,0,3,0,1,4,3,5,1,6,3,2,3*,2*
Alchiba VII-c,Corvi VII-c,AlchibaVIIc,Ice,Moon,Ice Moon,Alchiba,50,0.04,,,,Deep freeze,None,None,Chemical,"H20,Hg,Pb",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Alchiba VII-d,Corvi VII-d,AlchibaVIId,Ice,Moon,Ice Moon,Alchiba,50,0.11,,,,Deep freeze,None,None,Safe,"H20,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Alchiba VIII,Corvi VIII,AlchibaVIII,Rock,Planet,Rock Planet,Alchiba,50,2.07,,,,Deep freeze,High N2,Very strong,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,2,0,4,2,4,1,2,6,1,0,0,0*,0*
Alchiba VIII-a,Corvi VIII-a,AlchibaVIIIa,Ice,Moon,Ice Moon,Alchiba,50,0.04,,,,Deep freeze,None,None,Safe,"H20,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Alchiba VIII-b,Corvi VIII-b,AlchibaVIIIb,Barren,Moon,Barren Moon,Alchiba,50,0.28,,,,Deep freeze,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,1,1,0,0,0*,0*
Alchiba X,Corvi X,AlchibaX,Gas giant,Planet,Gas giant Planet,Alchiba,50,3.66,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,5,1,0,0,0*,0*
Alchiba X-a,Corvi X-a,AlchibaXa,Ice,Moon,Ice Moon,Alchiba,50,0.31,,,,Deep freeze,None,None,Chemical,"Au,Cu,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Alchiba X-b,Corvi X-b,AlchibaXb,Rock,Moon,Rock Moon,Alchiba,50,0.74,,,,Temperate,Std O2,None,Biological,"Ar,C6Hn,H20,Pb",4,Unknown,Unknown,"Archipelago,Ocean,Polar-Ice","Coastal,Ocean,Ice",Unknown,79.2%,Yes,0,0,0,0,0,4,4,6,1,5,2,2,2*,2*
Algorab I,,AlgorabI,Rock,Planet,Rock Planet,Algorab,70,0.79,,,,Inferno,Std CO2,Weak,None,"Ir,Pb,U",3,Unknown,Unknown,"Desert-Rocky,Desert-Sandy,Volcanic","Desert,Volcanic",Unknown,37.5%,No,1,0,3,0,0,4,7,4,3,1,0,0,0*,0*
Algorab II,,AlgorabII,Rock,Planet,Rock Planet,Algorab,70,1.48,,,,Temperate,High O2,Powerful,Safe,"Ar,Cl,H20,Li,R-COC",5,Unknown,Unknown,"Forest,Ocean,Polar-Ice,SavannahBarren","Forest,Ocean,Ice,Savannah",Unknown,79.2%,Yes,0,2,0,0,0,4,4,6,7,6,7,6,7*,6*
Algorab III,,AlgorabIII,Gas giant,Planet,Gas giant Planet,Algorab,70,2.02,,,,Frozen,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,0,0,0,4,0,2,2,3,5,1,0,0,0*,0*
Algorab III-a,,AlgorabIIIa,Rock,Moon,Rock Moon,Algorab,70,0.42,,,,Frozen,Std CO2,None,Chemical,"Ar,H20,He-3,U",4,Unknown,Unknown,"Polar-Ice,SavannahBarren","Ice,Savannah",Unknown,45.8%,Yes,0,0,3,0,1,4,2,4,1,3,0,0,0*,0*
Algorab III-b,,AlgorabIIIb,Rock,Moon,Rock Moon,Algorab,70,0.51,,,,Temperate,Thin CO2,Average,Radioactive,"Al,Ar,C6Hn,Cl,Fe,H20,HnCn,R-COC",8,Unknown,Unknown,"Archipelago,Forest,Hills,Ocean,Polar-Ice,Wetlands","Coastal,Forest,Hills,Ocean,Ice,Wetlands",Unknown,62.5%,Yes,0,0,3,0,2,4,4,4,4,4,2,2,2*,2*
Algorab III-c,,AlgorabIIIc,Ice,Moon,Ice Moon,Algorab,70,0.08,,,,Frozen,None,None,Chemical,"Cl,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,3,0,0,0*,0*
Algorab III-d,,AlgorabIIId,Ice,Moon,Ice Moon,Algorab,70,0.01,,,,Frozen,None,None,Safe,"Cl,H20",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0*,0*
Algorab III-e,,AlgorabIIIe,Ice,Moon,Ice Moon,Algorab,70,0.18,,,,Frozen,None,None,Safe,"Cl,H20,Li",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,0,3,2,1,1,6,0,0,0*,0*
Alpha Andraste I,,AlphaAndrasteI,Barren,Planet,Barren Planet,Alpha Andraste,30,0.54,,,,Inferno,None,None,None,"Al,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Alpha Andraste I-a,,AlphaAndrasteIa,Barren,Moon,Barren Moon,Alpha Andraste,30,0.06,,,,Inferno,None,None,None,"Fe,He-3",2,None,None,Cratered,Cratered,Boiled Seas,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Alpha Andraste II,,AlphaAndrasteII,Rock,Planet,Rock Planet,Alpha Andraste,30,0.37,0%,Solar radiation,,Hot,Thin CO2,Weak,None,"Al,Be,Cl,Fe,He-3,Ta",6,None,Primordial (4),"Cratered,Desert-Sandy,Mountains","Cratered,Desert,Mountains",Continual Conductor,50.0%,No,0,0,3,0,3,4,5,4,3,1,2,1,0,4
Alpha Andraste III,,AlphaAndrasteIII,Rock,Planet,Rock Planet,Alpha Andraste,30,1.44,,,,Temperate,High O2,Powerful,Heavy metal,"Ar,Cl,H20,Pb,SiH3Cl,Xe",6,Moderate (11),Moderate (5),"Forest,Ocean,Polar-Ice,SavannahBarren","Forest,Ocean,Ice,Savannah",Unknown,83.3%,Yes,0,2,0,0,0,4,4,6,7,2,3,3,11,5
Alpha Andraste IV,,AlphaAndrasteIV,Rock,Planet,Rock Planet,Alpha Andraste,30,0.85,,,,Frozen,High M,Very weak,Chemical,"Cu,Fe,H20,HnCn,Ni,Pb,Pd,Ti",8,None,None,"Desert-Rocky,Hills,Mountains,Polar-Ice","Desert,Hills,Mountains,Ice","Frozen Ecosystem, Emerging Tectonics",58.3%,Yes,0,2,3,0,2,4,2,5,2,3,0,0,0,0
Alpha Andraste V,,AlphaAndrasteV,Rock,Planet,Rock Planet,Alpha Andraste,30,1.18,,,,Frozen,Std O2,Average,None,"Cl,H20,Ir,Ni,SiH3Cl,U",6,Unknown,Unknown,"Desert-Sandy,Hills,SavannahBarren","Desert,Hills,Savannah",Unknown,54.2%,No,0,0,0,0,1,4,2,6,4,1,0,0,0*,0*
Alpha Andraste VI,,AlphaAndrasteVI,Rock,Planet,Rock Planet,Alpha Andraste,30,1.67,,,,Deep freeze,Extr N2,Powerful,None,"H20,Ni,Pb",3,Unknown,Unknown,"Desert-Rocky,Ocean,Polar-Ice","Desert,Ocean,Ice",Unknown,37.5%,No,1,2,0,0,1,4,1,2,7,1,0,0,0*,0*
Bondar,,Bondar,Rock,Planet,Rock Planet,Alpha Centauri,1,1.84,,,,Inferno,Extr CO2,Powerful,None,"Cl,Ni,Pb,Pt,W,Xe",6,None,None,"Hills,Rocky Desert,Sandy Desert,Volcanic","Desert,Hills,Volcanic","Charred Ecosystem,Active Faulting Emerging Tectonics",33.3%,No,1,2,3,0,2,4,7,4,7,1,0,0,0,0
Chawla,,Chawla,Ice,Moon,Ice Moon,Alpha Centauri,1,0.43,0%,"Ambient cold,Freezing fog,Solar Radiatino",Yes,Frozen,Thin CO2,None,Heavy metal,"Ar,C6Hn,H20",3,None,None,Frozen Dunes,Frozen,Unknown,41.7%,Yes,0,0,3,0,0,3,2,4,1,2,0,0,0,0
Curbeam,,Curbeam,Barren,Moon,Barren Moon,Alpha Centauri,1,0.18,,,,Inferno,None,None,None,"Al,He-3",2,None,None,Cratered,Cratered,Boiled Seas,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Gagarin,,Gagarin,Rock,Planet,Rock Planet,Alpha Centauri,1,0.89,21%,None,,Temperate,High O2,Powerful,Biological,"Cl,H20,Pb,SiH3Cl",4,Moderate (8),Moderate (5),"Ocean,Rocky Desert,Swamp,Wetlands","Desert,Ocean,Swamp,Wetlands",Unknown,83.3%,Yes,0,2,0,0,0,4,4,6,7,5,6,5,8,5
Grissom,,Grissom,Barren,Moon,Barren Moon,Alpha Centauri,1,0.29,,,,Inferno,None,None,None,"Fe,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Hawley,,Hawley,Rock,Moon,Rock Moon,Alpha Centauri,1,0.50,,,,Frozen,Thin M,None,None,"Co,H20,Ni,Pb,U",5,None,None,"Hills,Rocky Desert,Sandy Desert","Desert,Hills",Pelted Fields,33.3%,No,0,0,3,0,1,4,2,5,1,1,0,0,0,0
Jemison,,Jemison,Rock,Planet,Rock Planet,Alpha Centauri,1,0.91,,,,Temperate,Std O2,Strong,Safe,"Ar,Cl,H20,Pb,SiH3Cl",5,Abundant (9),Abundant (8),"Coniferous Forest,Deciduous Forest,Frozen Mountains,Mountains,Ocean","Forest,Frozen,Mountains,Ocean","Ecological Consortium,Global Glacial Recession,Sentient Microbial Colonies",100.0%,Yes,0,0,0,0,0,4,4,6,5,6,5,4,9,8
Kurtz,,Kurtz,Barren,Moon,Barren Moon,Alpha Centauri,1,0.11,,,,Temperate,None,None,None,"Al,He-3",2,None,None,Cratered,Cratered,Unknown,50.0%,No,0,0,0,0,2,3,4,1,1,1,0,0,0,0
Lovell,,Lovell,Ice,Moon,Ice Moon,Alpha Centauri,1,0.08,,,,Frozen,None,None,Heavy metal,"Co,H20,Ni",3,None,None,Frozen Cratered,Frozen,Crystalline Crust,41.7%,Yes,0,0,0,0,1,3,2,1,1,2,0,0,0,0
Olivas,,Olivas,Gas giant,Planet,Gas giant Planet,Alpha Centauri,1,1.34,,,,Frozen,H2,Strong,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,0,0,0,0,0,2,2,3,5,1,0,0,0,0
Voss,,Voss,Rock,Moon,Rock Moon,Alpha Centauri,1,0.41,,,,Frozen,Thin N2,None,Chemical,"Co,Dy,H20,Ni,Pb,U,V,W",8,None,None,"Frozen Mountains,Hills,Mountains,Rocky Desert,Sandy Desert","Desert,Frozen,Hills,Mountains",Solar Storm Seasons,58.3%,Yes,0,0,0,0,2,4,2,2,1,3,0,0,0,0
Zamka,,Zamka,Rock,Moon,Rock Moon,Alpha Centauri,1,0.42,,,,Frozen,Thin M,None,Chemical,"Co,Cu,Fe,H20,He-3,Ni,U,V",8,None,None,"Cratered,Frozen Plains,Hills,Mountains,Sandy Desert","Cratered,Frozen,Hills,Mountains,Desert","Solar Storm Seasons,Crystalline Crust",58.3%,Yes,0,0,3,0,3,4,2,5,1,3,0,0,0,0
Alpha Marae I,,AlphaMaraeI,Rock,Planet,Rock Planet,Alpha Marae,45,1.08,,,,Scorched,Std CO2,Average,None,"Ag,Co,Ni,Pb,U,V",6,Unknown,Unknown,"Desert-Rocky,Desert-Sandy,Hills","Desert,Hills",Unknown,37.5%,No,0,0,3,0,1,4,6,4,4,1,0,0,0*,0*
Alpha Marae II,,AlphaMaraeII,Gas giant,Planet,Gas giant Planet,Alpha Marae,45,1.79,,,,Cold,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,0,0,0,0,0,2,3,3,5,1,1,0,1*,0*
Alpha Marae II-a,,AlphaMaraeIIa,Ice,Moon,Ice Moon,Alpha Marae,45,0.12,,,,Cold,None,None,Chemical,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,0,0,0,0,1,3,3,1,1,3,0,0,0*,0*
Alpha Marae III,,AlphaMaraeIII,Gas giant,Planet,Gas giant Planet,Alpha Marae,45,3.05,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Alpha Marae III-a,,AlphaMaraeIIIa,Ice,Moon,Ice Moon,Alpha Marae,45,0.12,,,,Deep freeze,None,None,Chemical,"H20,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Alpha Marae III-b,,AlphaMaraeIIIb,Ice,Moon,Ice Moon,Alpha Marae,45,0.24,,,,Deep freeze,None,None,Safe,"Ar,C6Hn,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Alpha Marae III-c,,AlphaMaraeIIIc,Ice,Moon,Ice Moon,Alpha Marae,45,0.38,,,,Deep freeze,None,None,Chemical,"Ar,C6Hn,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Alpha Marae III-d,,AlphaMaraeIIId,Rock,Moon,Rock Moon,Alpha Marae,45,0.72,,,,Cold,Thin O2,None,Heavy metal,"Ar,C6Hn,Cl,Fe,H20,Ir,Li,U",8,Unknown,Unknown,"Archipelago,Desert-Sandy,Mountains,Ocean,Polar-Ice,SavannahBarren,Wetlands","Coastal,Desert,Mountains,Ocean,Ice,Savannah,Wetlands",Unknown,79.2%,Yes,0,0,0,0,1,4,3,6,1,2,3,3,3*,3*
Alpha Marae IV,,AlphaMaraeIV,Gas giant,Planet,Gas giant Planet,Alpha Marae,45,2.63,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,5,1,0,0,0*,0*
Alpha Marae IV-a,,AlphaMaraeIVa,Ice,Moon,Ice Moon,Alpha Marae,45,0.20,,,,Deep freeze,None,None,Chemical,"Cu,F,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
